DEWP,TEMP,PRES,Iws,Is,Ir,hour_sin,hour_cos,pm2_1,pm2_24,pm2_24_mean
-20,-5.0,1033.0,76.89,0,0,-0.9659258262890683,-0.25881904510252063,13.0,88.0,31.208333333333332
-20,-7.0,1033.0,81.81,0,0,-1.0,-1.8369701987210297e-16,13.0,84.0,28.083333333333332
-22,-7.0,1033.0,85.83,0,0,-0.9659258262890684,0.2588190451025203,13.0,83.0,25.125
-22,-8.0,1033.0,89.85,0,0,-0.8660254037844386,0.5000000000000001,17.0,66.0,22.375
-23,-10.0,1033.0,91.64,0,0,-0.7071067811865477,0.7071067811865474,20.0,27.0,20.458333333333332
-23,-13.0,1033.0,93.43,0,0,-0.5000000000000004,0.8660254037844384,27.0,24.0,20.458333333333332
-22,-12.0,1032.0,0.89,0,0,-0.25881904510252157,0.9659258262890681,20.0,22.0,20.291666666666668
-22,-15.0,1031.0,1.78,0,0,0.0,1.0,15.0,23.0,20.0
-22,-14.0,1031.0,1.79,0,0,0.25881904510252074,0.9659258262890683,21.0,27.0,19.916666666666668
-22,-14.0,1031.0,0.89,0,0,0.49999999999999994,0.8660254037844387,21.0,23.0,19.666666666666668
-24,-18.0,1030.0,1.79,0,0,0.7071067811865475,0.7071067811865476,37.0,17.0,20.25
-24,-13.0,1030.0,3.58,0,0,0.8660254037844386,0.5000000000000001,26.0,17.0,20.625
-25,-14.0,1030.0,3.13,0,0,0.9659258262890683,0.25881904510252074,15.0,16.0,20.541666666666668
-24,-14.0,1030.0,7.15,0,0,1.0,6.123233995736766e-17,9.0,16.0,20.25
-25,-12.0,1030.0,12.96,0,0,0.9659258262890683,-0.25881904510252063,11.0,20.0,20.041666666666668
-26,-14.0,1030.0,16.98,0,0,0.8660254037844387,-0.49999999999999983,11.0,20.0,19.666666666666668
-25,-12.0,1031.0,21.0,0,0,0.7071067811865476,-0.7071067811865475,16.0,18.0,19.5
-25,-11.0,1031.0,26.81,0,0,0.49999999999999994,-0.8660254037844387,13.0,25.0,19.291666666666668
-24,-11.0,1030.0,35.75,0,0,0.258819045102521,-0.9659258262890682,15.0,26.0,18.875
-23,-11.0,1029.0,47.82,0,0,1.2246467991473532e-16,-1.0,21.0,27.0,18.666666666666668
-22,-11.0,1029.0,63.02,0,0,-0.2588190451025208,-0.9659258262890683,24.0,28.0,18.541666666666668
-23,-11.0,1029.0,75.98,0,0,-0.4999999999999998,-0.8660254037844388,22.0,15.0,18.291666666666668
-22,-11.0,1029.0,88.05,0,0,-0.7071067811865471,-0.7071067811865479,22.0,24.0,18.583333333333332
-23,-11.0,1030.0,101.01,0,0,-0.8660254037844384,-0.5000000000000004,22.0,13.0,18.5
-24,-11.0,1030.0,109.06,0,0,-0.9659258262890683,-0.25881904510252063,19.0,13.0,18.75
-24,-11.0,1032.0,118.0,0,0,-1.0,-1.8369701987210297e-16,23.0,13.0,19.166666666666668
-23,-11.0,1032.0,126.05,0,0,-0.9659258262890684,0.2588190451025203,25.0,17.0,19.666666666666668
-23,-12.0,1032.0,134.1,0,0,-0.8660254037844386,0.5000000000000001,25.0,20.0,20.0
-24,-12.0,1033.0,142.15,0,0,-0.7071067811865477,0.7071067811865474,31.0,27.0,20.458333333333332
-23,-12.0,1033.0,150.2,0,0,-0.5000000000000004,0.8660254037844384,25.0,20.0,20.375
-23,-12.0,1034.0,160.03,0,0,-0.25881904510252157,0.9659258262890681,22.0,15.0,20.458333333333332
-24,-12.0,1034.0,169.86,0,0,0.0,1.0,22.0,21.0,20.75
-24,-12.0,1033.0,178.8,0,0,0.25881904510252074,0.9659258262890683,15.0,21.0,20.5
-25,-12.0,1033.0,189.98,0,0,0.49999999999999994,0.8660254037844387,16.0,37.0,20.291666666666668
-24,-13.0,1033.0,198.03,0,0,0.7071067811865475,0.7071067811865476,11.0,26.0,19.208333333333332
-25,-12.0,1032.0,205.18,0,0,0.8660254037844386,0.5000000000000001,11.0,15.0,18.583333333333332
-25,-12.0,1033.0,215.01,0,0,0.9659258262890683,0.25881904510252074,12.0,9.0,18.458333333333332
-25,-12.0,1032.0,226.19,0,0,1.0,6.123233995736766e-17,11.0,11.0,18.541666666666668
-25,-12.0,1032.0,235.13,0,0,0.9659258262890683,-0.25881904510252063,12.0,11.0,18.583333333333332
-25,-12.0,1032.0,243.18,0,0,0.8660254037844387,-0.49999999999999983,27.0,16.0,19.25
-23,-11.0,1033.0,252.12,0,0,0.7071067811865476,-0.7071067811865475,28.0,13.0,19.75
-23,-10.0,1033.0,257.93,0,0,0.49999999999999994,-0.8660254037844387,34.0,15.0,20.625
-22,-9.0,1033.0,263.74,0,0,0.258819045102521,-0.9659258262890682,33.0,21.0,21.375
-21,-8.0,1031.0,270.89,0,0,1.2246467991473532e-16,-1.0,36.0,24.0,22.0
-21,-6.0,1030.0,278.94,0,0,-0.2588190451025208,-0.9659258262890683,26.0,22.0,22.083333333333332
-20,-5.0,1029.0,286.99,0,0,-0.4999999999999998,-0.8660254037844388,49.0,22.0,23.208333333333332
-22,-5.0,1028.0,294.14,0,0,-0.7071067811865471,-0.7071067811865479,52.0,22.0,24.458333333333332
-21,-5.0,1028.0,299.06,0,0,-0.8660254037844384,-0.5000000000000004,47.0,19.0,25.5
-19,-7.0,1028.0,1.79,0,0,-0.9659258262890683,-0.25881904510252063,47.0,23.0,26.666666666666668
-19,-8.0,1028.0,0.45,0,0,-1.0,-1.8369701987210297e-16,39.0,25.0,27.333333333333332
-20,-9.0,1028.0,1.34,0,0,-0.9659258262890684,0.2588190451025203,59.0,25.0,28.75
-19,-10.0,1027.0,1.79,0,0,-0.8660254037844386,0.5000000000000001,76.0,31.0,30.875
-19,-13.0,1027.0,0.89,0,0,-0.7071067811865477,0.7071067811865474,96.0,25.0,33.583333333333336
-18,-12.0,1027.0,1.78,0,0,-0.5000000000000004,0.8660254037844384,95.0,22.0,36.5
-18,-13.0,1027.0,0.89,0,0,-0.25881904510252157,0.9659258262890681,68.0,22.0,38.416666666666664
-18,-14.0,1026.0,1.78,0,0,0.0,1.0,65.0,15.0,40.208333333333336
-20,-15.0,1025.0,2.67,0,0,0.25881904510252074,0.9659258262890683,75.0,16.0,42.708333333333336
-20,-15.0,1025.0,0.89,0,0,0.49999999999999994,0.8660254037844387,257.0,11.0,52.75
-20,-16.0,1025.0,1.78,0,0,0.7071067811865475,0.7071067811865476,174.0,11.0,59.541666666666664
-20,-16.0,1024.0,3.57,0,0,0.8660254037844386,0.5000000000000001,164.0,12.0,65.91666666666667
-21,-17.0,1024.0,6.7,0,0,0.9659258262890683,0.25881904510252074,161.0,11.0,72.125
-19,-14.0,1023.0,10.72,0,0,1.0,6.123233995736766e-17,137.0,12.0,77.375
-21,-17.0,1023.0,13.85,0,0,0.9659258262890683,-0.25881904510252063,92.0,27.0,80.70833333333333
-19,-15.0,1024.0,15.64,0,0,0.8660254037844387,-0.49999999999999983,64.0,28.0,82.25
-19,-14.0,1024.0,18.77,0,0,0.7071067811865476,-0.7071067811865475,87.0,34.0,84.70833333333333
-18,-10.0,1024.0,22.79,0,0,0.49999999999999994,-0.8660254037844387,87.0,33.0,86.91666666666667
-17,-9.0,1023.0,24.58,0,0,0.258819045102521,-0.9659258262890682,84.0,36.0,89.04166666666667
-16,-6.0,1023.0,26.37,0,0,1.2246467991473532e-16,-1.0,95.0,26.0,91.5
-17,-5.0,1022.0,28.16,0,0,-0.2588190451025208,-0.9659258262890683,79.0,49.0,93.70833333333333
-16,-5.0,1022.0,29.95,0,0,-0.4999999999999998,-0.8660254037844388,75.0,52.0,94.79166666666667
-15,-4.0,1022.0,33.08,0,0,-0.7071067811865471,-0.7071067811865479,79.0,47.0,95.91666666666667
-16,-4.0,1023.0,0.89,0,0,-0.8660254037844384,-0.5000000000000004,86.0,47.0,97.54166666666667
-15,-5.0,1025.0,1.79,0,0,-0.9659258262890683,-0.25881904510252063,72.0,39.0,98.58333333333333
-14,-3.0,1026.0,5.81,0,0,-1.0,-1.8369701987210297e-16,89.0,59.0,100.66666666666667
-16,-3.0,1027.0,11.62,0,0,-0.9659258262890684,0.2588190451025203,94.0,76.0,102.125
-15,-4.0,1029.0,20.56,0,0,-0.8660254037844386,0.5000000000000001,69.0,96.0,101.83333333333333
-16,-5.0,1031.0,24.58,0,0,-0.7071067811865477,0.7071067811865474,49.0,95.0,99.875
-17,-6.0,1032.0,3.13,0,0,-0.5000000000000004,0.8660254037844384,33.0,68.0,97.29166666666667
-18,-6.0,1033.0,8.05,0,0,-0.25881904510252157,0.9659258262890681,27.0,65.0,95.58333333333333
-19,-7.0,1034.0,13.86,0,0,0.0,1.0,20.0,75.0,93.70833333333333
-17,-8.0,1035.0,5.81,0,0,0.25881904510252074,0.9659258262890683,36.0,257.0,92.08333333333333
-18,-10.0,1035.0,11.62,0,0,0.49999999999999994,0.8660254037844387,37.0,174.0,82.91666666666667
-19,-10.0,1036.0,14.75,0,0,0.7071067811865475,0.7071067811865476,30.0,164.0,76.91666666666667
-19,-9.0,1036.0,19.67,0,0,0.8660254037844386,0.5000000000000001,18.0,161.0,70.83333333333333
-19,-9.0,1036.0,7.15,0,0,0.9659258262890683,0.25881904510252074,21.0,137.0,65.0
-20,-9.0,1037.0,12.96,0,0,1.0,6.123233995736766e-17,13.0,92.0,59.833333333333336
-19,-9.0,1037.0,18.77,0,0,0.9659258262890683,-0.25881904510252063,23.0,64.0,56.958333333333336
-19,-8.0,1038.0,22.79,0,0,0.8660254037844387,-0.49999999999999983,26.0,87.0,55.375
-19,-8.0,1039.0,28.6,0,0,0.7071067811865476,-0.7071067811865475,27.0,87.0,52.875
-19,-7.0,1039.0,35.75,0,0,0.49999999999999994,-0.8660254037844387,30.0,84.0,50.5
-18,-6.0,1039.0,41.56,0,0,0.258819045102521,-0.9659258262890682,28.0,95.0,48.166666666666664
-18,-5.0,1039.0,45.58,0,0,1.2246467991473532e-16,-1.0,26.0,79.0,45.291666666666664
-17,-4.0,1038.0,1.79,0,0,-0.2588190451025208,-0.9659258262890683,26.0,75.0,43.083333333333336
-16,-3.0,1037.0,0.89,0,0,-0.4999999999999998,-0.8660254037844388,31.0,79.0,41.25
-17,-3.0,1037.0,1.78,0,0,-0.7071067811865471,-0.7071067811865479,35.0,86.0,39.416666666666664
-17,-2.0,1037.0,2.23,0,0,-0.8660254037844384,-0.5000000000000004,36.0,72.0,37.333333333333336
-15,-5.0,1036.0,0.89,0,0,-0.9659258262890683,-0.25881904510252063,37.0,89.0,35.875
-15,-6.0,1036.0,0.89,0,0,-1.0,-1.8369701987210297e-16,64.0,94.0,34.833333333333336
-15,-6.0,1037.0,1.78,0,0,-0.9659258262890684,0.2588190451025203,83.0,69.0,34.375
-14,-6.0,1037.0,1.79,0,0,-0.8660254037844386,0.5000000000000001,91.0,49.0,35.291666666666664
-14,-8.0,1036.0,3.58,0,0,-0.7071067811865477,0.7071067811865474,90.0,33.0,37.0
-14,-10.0,1037.0,0.89,0,0,-0.5000000000000004,0.8660254037844384,102.0,27.0,39.875
-15,-11.0,1036.0,1.78,0,0,-0.25881904510252157,0.9659258262890681,94.0,20.0,42.666666666666664
-15,-11.0,1036.0,2.67,0,0,0.0,1.0,87.0,36.0,45.458333333333336
-16,-13.0,1036.0,0.89,0,0,0.25881904510252074,0.9659258262890683,141.0,37.0,49.833333333333336
-16,-12.0,1036.0,0.89,0,0,0.49999999999999994,0.8660254037844387,211.0,30.0,57.083333333333336
-16,-13.0,1035.0,0.89,0,0,0.7071067811865475,0.7071067811865476,242.0,18.0,65.91666666666667
-15,-12.0,1035.0,1.78,0,0,0.8660254037844386,0.5000000000000001,271.0,21.0,76.45833333333333
-14,-10.0,1034.0,1.79,0,0,0.9659258262890683,0.25881904510252074,249.0,13.0,85.95833333333333
-15,-10.0,1034.0,2.68,0,0,1.0,6.123233995736766e-17,200.0,23.0,93.75
-15,-11.0,1034.0,4.47,0,0,0.9659258262890683,-0.25881904510252063,147.0,26.0,98.91666666666667
-15,-11.0,1034.0,6.26,0,0,0.8660254037844387,-0.49999999999999983,114.0,27.0,102.58333333333333
-14,-9.0,1034.0,8.05,0,0,0.7071067811865476,-0.7071067811865475,102.0,30.0,105.70833333333333
-14,-9.0,1034.0,9.84,0,0,0.49999999999999994,-0.8660254037844387,108.0,28.0,108.95833333333333
-13,-6.0,1034.0,0.89,0,0,0.258819045102521,-0.9659258262890682,135.0,26.0,113.41666666666667
-13,-5.0,1033.0,1.79,0,0,1.2246467991473532e-16,-1.0,120.0,26.0,117.33333333333333
-12,-4.0,1031.0,0.89,0,0,-0.2588190451025208,-0.9659258262890683,148.0,31.0,122.41666666666667
-12,-3.0,1031.0,1.78,0,0,-0.4999999999999998,-0.8660254037844388,127.0,35.0,126.41666666666667
-12,-3.0,1030.0,2.67,0,0,-0.7071067811865471,-0.7071067811865479,128.0,36.0,130.29166666666666
-11,-3.0,1030.0,3.56,0,0,-0.8660254037844384,-0.5000000000000004,140.0,37.0,134.625
-11,-4.0,1031.0,0.89,0,0,-0.9659258262890683,-0.25881904510252063,148.0,64.0,139.25
-12,-7.0,1031.0,0.89,0,0,-1.0,-1.8369701987210297e-16,150.0,83.0,142.83333333333334
-12,-7.0,1032.0,1.78,0,0,-0.9659258262890684,0.2588190451025203,154.0,91.0,145.79166666666666
-12,-8.0,1032.0,2.23,0,0,-0.8660254037844386,0.5000000000000001,197.0,90.0,150.20833333333334
-12,-9.0,1032.0,3.12,0,0,-0.7071067811865477,0.7071067811865474,235.0,102.0,156.25
-13,-11.0,1032.0,0.89,0,0,-0.5000000000000004,0.8660254037844384,261.0,94.0,162.875
-14,-11.0,1032.0,2.68,0,0,-0.25881904510252157,0.9659258262890681,269.0,87.0,170.16666666666666
-15,-12.0,1032.0,5.81,0,0,0.0,1.0,266.0,141.0,177.625
-14,-11.0,1032.0,0.45,0,0,0.25881904510252074,0.9659258262890683,263.0,211.0,182.70833333333334
-14,-11.0,1031.0,1.34,0,0,0.49999999999999994,0.8660254037844387,241.0,242.0,183.95833333333334
-14,-12.0,1031.0,1.79,0,0,0.7071067811865475,0.7071067811865476,205.0,271.0,182.41666666666666
-14,-12.0,1031.0,3.58,0,0,0.8660254037844386,0.5000000000000001,160.0,249.0,177.79166666666666
-14,-10.0,1030.0,6.71,0,0,0.9659258262890683,0.25881904510252074,150.0,200.0,173.66666666666666
-14,-11.0,1030.0,9.84,0,0,1.0,6.123233995736766e-17,148.0,147.0,171.5
-15,-10.0,1030.0,11.63,0,0,0.9659258262890683,-0.25881904510252063,208.0,114.0,174.04166666666666
-13,-10.0,1030.0,14.76,0,0,0.8660254037844387,-0.49999999999999983,209.0,102.0,178.0
-13,-8.0,1030.0,17.89,0,0,0.7071067811865476,-0.7071067811865475,183.0,108.0,181.375
-12,-6.0,1030.0,0.45,0,0,0.49999999999999994,-0.8660254037844387,161.0,135.0,183.58333333333334
-11,-5.0,1030.0,1.34,0,0,0.258819045102521,-0.9659258262890682,182.0,120.0,185.54166666666666
-11,-4.0,1029.0,2.23,0,0,1.2246467991473532e-16,-1.0,230.0,148.0,190.125
-11,-3.0,1028.0,3.12,0,0,-0.2588190451025208,-0.9659258262890683,170.0,127.0,191.04166666666666
-10,-1.0,1027.0,4.01,0,0,-0.4999999999999998,-0.8660254037844388,172.0,128.0,192.91666666666666
-11,-1.0,1027.0,4.46,0,0,-0.7071067811865471,-0.7071067811865479,154.0,140.0,194.0
-10,-1.0,1026.0,0.89,0,0,-0.8660254037844384,-0.5000000000000004,166.0,148.0,195.08333333333334
-10,-3.0,1026.0,1.78,0,0,-0.9659258262890683,-0.25881904510252063,177.0,150.0,196.29166666666666
-10,-5.0,1027.0,2.67,0,0,-1.0,-1.8369701987210297e-16,191.0,154.0,198.0
-10,-6.0,1027.0,0.89,0,0,-0.9659258262890684,0.2588190451025203,212.0,197.0,200.41666666666666
-11,-7.0,1027.0,0.45,0,0,-0.8660254037844386,0.5000000000000001,250.0,235.0,202.625
-10,-7.0,1027.0,0.9,0,0,-0.7071067811865477,0.7071067811865474,268.0,261.0,204.0
-11,-9.0,1027.0,1.35,0,0,-0.5000000000000004,0.8660254037844384,317.0,269.0,206.33333333333334
-12,-9.0,1027.0,0.89,0,0,-0.25881904510252157,0.9659258262890681,291.0,266.0,207.25
-12,-10.0,1028.0,0.89,0,0,0.0,1.0,313.0,263.0,209.20833333333334
-13,-11.0,1028.0,3.13,0,0,0.25881904510252074,0.9659258262890683,282.0,241.0,210.0
-11,-9.0,1028.0,4.92,0,0,0.49999999999999994,0.8660254037844387,282.0,205.0,211.70833333333334
-13,-10.0,1028.0,6.71,0,0,0.7071067811865475,0.7071067811865476,303.0,160.0,215.79166666666666
-13,-11.0,1028.0,7.6,0,0,0.8660254037844386,0.5000000000000001,349.0,150.0,223.66666666666666
-13,-11.0,1027.0,1.79,0,0,0.9659258262890683,0.25881904510252074,407.0,148.0,234.375
-14,-11.0,1028.0,0.89,0,0,1.0,6.123233995736766e-17,361.0,208.0,243.25
-14,-11.0,1028.0,4.02,0,0,0.9659258262890683,-0.25881904510252063,234.0,209.0,244.33333333333334
-14,-11.0,1028.0,5.81,0,0,0.8660254037844387,-0.49999999999999983,149.0,183.0,241.83333333333334
-11,-6.0,1028.0,9.83,0,0,0.7071067811865476,-0.7071067811865475,147.0,161.0,240.33333333333334
-10,-5.0,1028.0,11.62,0,0,0.49999999999999994,-0.8660254037844387,184.0,182.0,241.29166666666666
-9,-3.0,1028.0,13.41,0,0,0.258819045102521,-0.9659258262890682,161.0,230.0,240.41666666666666
-8,-1.0,1027.0,15.2,0,0,1.2246467991473532e-16,-1.0,137.0,170.0,236.54166666666666
-9,0.0,1026.0,16.99,0,0,-0.2588190451025208,-0.9659258262890683,146.0,172.0,235.54166666666666
-9,1.0,1025.0,1.79,0,0,-0.4999999999999998,-0.8660254037844388,144.0,154.0,234.375
-9,1.0,1025.0,0.89,0,0,-0.7071067811865471,-0.7071067811865479,154.0,166.0,234.375
-8,1.0,1025.0,0.89,0,0,-0.8660254037844384,-0.5000000000000004,173.0,177.0,234.66666666666666
-7,-1.0,1025.0,2.68,0,0,-0.9659258262890683,-0.25881904510252063,188.0,191.0,235.125
-7,-2.0,1025.0,0.89,0,0,-1.0,-1.8369701987210297e-16,203.0,212.0,235.625
-7,-3.0,1025.0,0.89,0,0,-0.9659258262890684,0.2588190451025203,233.0,250.0,236.5
-5,-2.0,1026.0,0.89,0,0,-0.8660254037844386,0.5000000000000001,408.0,268.0,243.08333333333334
-5,-1.0,1026.0,1.79,0,0,-0.7071067811865477,0.7071067811865474,435.0,317.0,250.04166666666666
-5,-1.0,1026.0,3.58,0,0,-0.5000000000000004,0.8660254037844384,403.0,291.0,253.625
-6,-1.0,1026.0,0.89,0,0,-0.25881904510252157,0.9659258262890681,360.0,313.0,256.5
-4,-1.0,1025.0,1.79,0,0,0.0,1.0,402.0,282.0,260.2083333333333
-5,-1.0,1024.0,4.92,0,0,0.25881904510252074,0.9659258262890683,358.0,282.0,263.375
-5,-1.0,1024.0,6.71,0,0,0.49999999999999994,0.8660254037844387,383.0,303.0,267.5833333333333
-5,-1.0,1023.0,8.5,0,0,0.7071067811865475,0.7071067811865476,332.0,349.0,268.7916666666667
-4,-1.0,1022.0,10.29,0,0,0.8660254037844386,0.5000000000000001,274.0,407.0,265.6666666666667
-4,-1.0,1021.0,11.18,0,0,0.9659258262890683,0.25881904510252074,256.0,361.0,259.375
-4,-1.0,1021.0,12.07,0,0,1.0,6.123233995736766e-17,302.0,234.0,256.9166666666667
-4,-1.0,1021.0,13.86,0,0,0.9659258262890683,-0.25881904510252063,330.0,149.0,260.9166666666667
-4,0.0,1021.0,0.89,0,0,0.8660254037844387,-0.49999999999999983,367.0,147.0,270.0
-4,0.0,1021.0,1.79,0,0,0.7071067811865476,-0.7071067811865475,297.0,184.0,276.25
-4,0.0,1021.0,0.89,0,0,0.49999999999999994,-0.8660254037844387,331.0,161.0,282.375
-5,1.0,1021.0,1.79,0,0,0.258819045102521,-0.9659258262890682,323.0,137.0,289.125
-5,1.0,1020.0,0.89,0,0,1.2246467991473532e-16,-1.0,339.0,146.0,297.5416666666667
-4,1.0,1019.0,1.34,0,0,-0.2588190451025208,-0.9659258262890683,301.0,144.0,304.0
-4,1.0,1018.0,0.89,0,0,-0.4999999999999998,-0.8660254037844388,310.0,154.0,310.9166666666667
-3,2.0,1018.0,0.45,0,0,-0.7071067811865471,-0.7071067811865479,305.0,173.0,317.2083333333333
-3,2.0,1018.0,1.34,0,0,-0.8660254037844384,-0.5000000000000004,313.0,188.0,323.0416666666667
-2,2.0,1018.0,0.89,0,0,-0.9659258262890683,-0.25881904510252063,336.0,203.0,329.2083333333333
-3,1.0,1018.0,0.89,0,0,-1.0,-1.8369701987210297e-16,357.0,233.0,335.625
-3,2.0,1020.0,1.79,0,0,-0.9659258262890684,0.2588190451025203,485.0,408.0,346.125
-3,1.0,1020.0,4.92,0,0,-0.8660254037844386,0.5000000000000001,426.0,435.0,346.875
-3,0.0,1021.0,6.71,0,0,-0.7071067811865477,0.7071067811865474,403.0,403.0,345.5416666666667
-3,0.0,1021.0,8.5,0,0,-0.5000000000000004,0.8660254037844384,374.0,360.0,344.3333333333333
-3,1.0,1020.0,11.63,0,0,-0.25881904510252157,0.9659258262890681,333.0,402.0,343.2083333333333
-2,0.0,1021.0,14.76,0,0,0.0,1.0,343.0,358.0,340.75
-2,-1.0,1022.0,16.55,0,0,0.25881904510252074,0.9659258262890683,364.0,383.0,341.0
-4,-2.0,1022.0,19.68,0,0,0.49999999999999994,0.8660254037844387,389.0,332.0,341.25
-2,-1.0,1023.0,25.49,0,0,0.7071067811865475,0.7071067811865476,368.0,274.0,342.75
-3,1.0,1023.0,28.62,0,0,0.8660254037844386,0.5000000000000001,267.0,256.0,342.4583333333333
-3,0.0,1024.0,31.75,0,0,0.9659258262890683,0.25881904510252074,71.0,302.0,334.75
-5,2.0,1026.0,36.67,0,0,1.0,6.123233995736766e-17,81.0,330.0,325.5416666666667
-9,1.0,1027.0,41.59,0,0,0.9659258262890683,-0.25881904510252063,51.0,367.0,313.9166666666667
-10,0.0,1028.0,48.74,0,0,0.8660254037844387,-0.49999999999999983,49.0,297.0,300.6666666666667
-10,0.0,1030.0,55.89,0,0,0.7071067811865476,-0.7071067811865475,44.0,331.0,290.125
-11,1.0,1032.0,63.04,0,0,0.49999999999999994,-0.8660254037844387,45.0,323.0,278.2083333333333
-13,0.0,1033.0,71.09,0,0,0.258819045102521,-0.9659258262890682,35.0,339.0,266.2083333333333
-13,0.0,1033.0,78.24,0,0,1.2246467991473532e-16,-1.0,29.0,301.0,253.29166666666666
-13,-1.0,1033.0,8.05,0,0,-0.2588190451025208,-0.9659258262890683,27.0,310.0,241.875
-13,-1.0,1032.0,7.15,0,0,-0.4999999999999998,-0.8660254037844388,29.0,305.0,230.16666666666666
-15,-1.0,1032.0,5.81,0,0,-0.7071067811865471,-0.7071067811865479,16.0,313.0,218.125
-14,-1.0,1033.0,5.81,0,0,-0.8660254037844384,-0.5000000000000004,23.0,336.0,206.04166666666666
-15,-2.0,1033.0,12.96,0,0,-0.9659258262890683,-0.25881904510252063,28.0,357.0,193.20833333333334
-16,-3.0,1034.0,21.01,0,0,-1.0,-1.8369701987210297e-16,22.0,485.0,179.25
-17,-4.0,1035.0,28.16,0,0,-0.9659258262890684,0.2588190451025203,11.0,426.0,159.5
