,pm2.5
1310,29.0
1311,28.0
1312,26.0
1313,29.0
1314,32.0
1315,33.0
1316,43.0
1317,50.0
1318,56.0
1319,63.0
1320,47.0
1321,27.0
1322,20.0
1323,16.0
1324,5.0
1325,7.0
1326,8.0
1327,10.0
1328,13.0
1329,11.0
1330,13.0
1331,20.0
1332,18.0
1333,18.0
1334,14.0
1335,20.0
1336,19.0
1337,20.0
1338,20.0
1339,23.0
1340,21.0
1341,14.0
1342,16.0
1343,16.0
1344,26.0
1345,22.0
1346,27.0
1347,51.0
1348,46.0
1349,51.0
1350,48.0
1351,61.0
1352,58.0
1353,85.0
1354,84.0
1355,87.0
1356,111.0
1357,105.0
1358,70.0
1359,53.0
1360,48.0
1361,44.0
1362,33.0
1363,37.0
1364,40.0
1365,34.0
1366,32.0
1367,33.0
1368,51.0
1369,62.0
1370,68.0
1371,89.0
1372,101.0
1373,106.0
1374,144.0
1375,142.0
1376,140.0
1377,158.0
1378,135.0
1379,145.0
1380,161.0
1381,183.0
1382,199.0
1383,224.0
1384,193.0
1385,167.0
1386,162.0
1387,163.0
1388,163.0
1389,154.0
1390,189.0
1391,210.0
1392,222.0
1393,216.0
1394,219.0
1395,223.0
1396,213.0
1397,314.0
1398,59.0
1399,38.0
1400,29.0
1401,27.0
1402,20.0
1403,18.0
1404,19.0
1405,14.0
1406,19.0
1407,23.0
1408,14.0
1409,12.0
1410,12.0
1411,16.0
1412,16.0
1413,17.0
1414,19.0
1415,32.0
1416,53.0
1417,54.0
1418,52.0
1419,91.0
1420,79.0
1421,71.0
1422,47.0
1423,40.0
1424,41.0
1425,41.0
1426,38.0
1427,50.0
1428,69.0
1429,82.0
1430,79.0
1431,76.0
1432,78.0
1433,71.0
1434,73.0
1435,68.0
1436,58.0
1437,61.0
1438,58.0
1439,75.0
1440,78.0
1441,64.0
1442,53.0
1443,41.0
1444,37.0
1445,44.0
1446,65.0
1447,68.0
1448,75.0
1449,80.0
1450,80.0
1451,105.0
1452,86.0
1453,93.0
1454,90.0
1455,73.0
1456,68.0
1457,68.0
1458,78.0
1459,83.0
1460,86.0
1461,94.0
1462,112.0
1463,108.0
1464,116.0
1465,105.0
1466,112.0
1467,87.0
1468,103.0
1469,129.0
1470,153.0
1471,220.0
1472,175.0
1473,132.0
1474,69.0
1475,60.0
1476,50.0
1477,43.0
1478,36.0
1479,26.0
1480,21.0
1481,27.0
1482,21.0
1483,22.0
1484,22.0
1485,17.0
1486,25.0
1487,52.0
1488,30.0
1489,33.0
1490,38.0
1491,44.0
1492,61.0
1493,63.0
1494,72.0
1495,67.0
1496,55.0
1497,50.0
1498,55.0
1499,71.0
1500,79.0
1501,72.0
1502,73.0
1503,73.0
1504,53.0
1505,56.0
1506,60.0
1507,64.0
1508,53.0
1509,45.0
1510,54.0
1511,62.0
1512,63.0
1513,67.0
1514,85.0
1515,89.0
1516,76.0
1517,41.0
1518,83.0
1519,85.0
1520,41.0
1521,18.0
1522,27.0
1523,33.0
1524,34.0
1525,28.0
1526,27.0
1527,23.0
1528,22.0
1529,26.0
1530,20.0
1531,21.0
1532,24.0
1533,23.0
1534,28.0
1535,39.0
1536,51.0
1537,67.0
1538,66.0
1539,76.0
1540,71.0
1541,89.0
1542,96.0
1543,91.0
1544,86.0
1545,83.0
1546,80.0
1547,90.0
1548,110.0
1549,135.0
1550,144.0
1551,166.0
1552,179.0
1553,201.0
1554,227.0
1555,219.0
1556,208.0
1557,202.0
1558,205.0
1559,206.0
1560,209.0
1561,226.0
1562,222.0
1563,239.0
1564,241.0
1565,249.0
1566,248.0
1567,247.0
1568,228.0
1569,225.0
1570,222.0
1571,221.0
1572,214.0
1573,217.0
1574,231.0
1575,249.0
1576,245.0
1577,250.0
1578,232.0
1579,243.0
1580,239.0
1581,234.0
1582,240.0
1583,224.0
1584,206.0
1585,217.0
1586,180.0
1587,180.0
1588,183.0
1589,180.0
1590,216.0
1591,215.0
1592,700.0
1593,473.0
1594,201.0
1595,274.0
1596,381.0
1597,343.0
1598,156.0
1599,64.0
1600,51.0
1601,47.0
1602,37.0
1603,26.0
1604,22.0
1605,19.0
1606,23.0
1607,21.0
1608,27.0
1609,41.0
1610,46.0
1611,55.0
1612,46.0
1613,60.0
1614,47.0
1615,50.0
1616,51.0
1617,41.0
1618,48.0
1619,50.0
1620,55.0
1621,56.0
1622,52.0
1623,49.0
1624,53.0
1625,73.0
1626,82.0
1627,90.0
1628,106.0
1629,113.0
1630,121.0
1631,116.0
1632,111.0
1633,83.0
1634,85.0
1635,87.0
1636,90.0
1637,90.0
1638,100.0
1639,95.0
1640,96.0
1641,102.0
1642,112.0
1643,315.0
1644,784.0
1645,761.0
1646,204.0
1647,122.0
1648,158.0
1649,226.0
1650,128.0
1651,49.0
1652,47.0
1653,27.0
1654,25.0
1655,27.0
1656,18.0
1657,28.0
1658,16.0
1659,24.0
1660,24.0
1661,25.0
1662,46.0
1663,54.0
1664,60.0
1665,86.0
1666,58.0
1667,63.0
1668,59.0
1669,59.0
1670,54.0
1671,53.0
1672,55.0
1673,60.0
1674,55.0
1675,64.0
1676,64.0
1677,55.0
1678,57.0
1679,63.0
1680,69.0
1681,70.0
1682,72.0
1683,71.0
1684,73.0
1685,71.0
1686,70.0
1687,68.0
1688,63.0
1689,67.0
1690,76.0
1691,65.0
1692,44.0
1693,36.0
1694,29.0
1695,20.0
1696,53.0
1697,92.0
1698,134.0
1699,97.0
1700,64.0
1701,52.0
1702,63.0
1703,36.0
1704,22.0
1705,48.0
1706,52.0
1707,43.0
1708,44.0
1709,51.0
1710,69.0
1711,54.0
1712,10.0
1713,12.0
1714,10.0
1715,9.0
1716,12.0
1717,12.0
1718,18.0
1719,16.0
1720,20.0
1721,20.0
1722,18.0
1723,30.0
1724,27.0
1725,29.0
1726,33.0
1727,34.0
1728,59.0
1729,63.0
1730,67.0
1731,62.0
1732,72.0
1733,48.0
1734,70.0
1735,57.0
1736,61.0
1737,38.0
1738,44.0
1739,37.0
1740,43.0
1741,50.0
1742,64.0
1743,64.0
1744,72.0
1745,70.0
1746,65.0
1747,72.0
1748,84.0
1749,85.0
1750,98.0
1751,142.0
1752,97.0
1753,106.0
1754,89.0
1755,61.0
1756,46.0
1757,127.0
1758,134.0
1759,99.0
1760,85.0
1761,75.0
1762,79.0
1763,81.0
1764,74.0
1765,62.0
1766,71.0
1767,58.0
1768,48.0
1769,50.0
1770,54.0
1771,61.0
1772,59.0
1773,62.0
1774,54.0
1775,57.0
1776,44.0
1777,41.0
1778,48.0
1779,44.0
1780,56.0
1781,59.0
1782,67.0
1783,68.0
1784,99.0
1785,88.0
1786,74.0
1787,86.0
1788,93.0
1789,96.0
1790,120.0
1791,99.0
1792,100.0
1793,63.0
1794,57.0
1795,46.0
1796,48.0
1797,60.0
1798,57.0
1799,72.0
1800,82.0
1801,92.0
1802,100.0
1803,117.0
1804,129.0
1805,132.0
1806,142.0
1807,147.0
1808,169.0
1809,208.0
1810,198.0
1811,203.0
1812,218.0
1813,220.0
1814,222.0
1815,237.0
1816,245.0
1817,260.0
1818,259.0
1819,275.0
1820,280.0
1821,296.0
1822,366.0
1823,317.0
1824,297.0
1825,288.0
1826,288.0
1827,254.0
1828,254.0
1829,248.0
1830,271.0
1831,195.0
1832,124.0
1833,129.0
1834,200.0
1835,187.0
1836,149.0
1837,113.0
1838,85.0
1839,71.0
1840,42.0
1841,31.0
1842,39.0
1843,49.0
1844,35.0
1845,31.0
1846,26.0
1847,24.0
1848,22.0
1849,30.0
1850,25.0
1851,21.0
1852,35.0
1853,31.0
1854,15.0
1855,16.0
1856,18.0
1857,15.0
1858,17.0
1859,24.0
1860,20.0
1861,54.0
1862,39.0
1863,27.0
1864,52.0
1865,41.0
1866,35.0
1867,44.0
1868,45.0
1869,40.0
1870,27.0
1871,27.0
1872,21.0
1873,14.0
1874,14.0
1875,17.0
1876,13.0
1877,17.0
1878,16.0
1879,18.0
1880,12.0
1881,12.0
1882,21.0
1883,30.0
1884,69.0
1885,77.0
1886,49.0
1887,48.0
1888,53.0
1889,52.0
1890,53.0
1891,58.0
1892,56.0
1893,60.0
1894,100.0
1895,133.0
1896,138.0
1897,67.0
1898,59.0
1899,82.0
1900,89.0
1901,110.0
1902,128.0
1903,132.0
1904,136.0
1905,132.0
1906,119.0
1907,131.0
1908,161.0
1909,168.0
1910,164.0
1911,184.0
1912,178.0
1913,194.0
1914,206.0
1915,191.0
1916,180.0
1917,200.0
1918,170.0
1919,197.0
1920,184.0
1921,167.0
1922,111.0
1923,92.0
1924,44.0
1925,41.0
1926,34.0
1927,27.0
1928,32.0
1929,43.0
1930,61.0
1931,70.0
1932,87.0
1933,98.0
1934,173.0
1935,199.0
1936,177.0
1937,169.0
1938,187.0
1939,166.0
1940,161.0
1941,169.0
1942,180.0
1943,166.0
1944,185.0
1945,166.0
1946,171.0
1947,176.0
1948,186.0
1949,142.0
1950,121.0
1951,130.0
1952,132.0
1953,126.0
1954,47.0
1955,25.0
1956,23.0
1957,20.0
1958,18.0
1959,30.0
1960,14.0
1961,12.0
1962,18.0
1963,19.0
1964,33.0
1965,26.0
1966,24.0
1967,28.0
1968,27.0
1969,19.0
1970,16.0
1971,15.0
1972,16.0
1973,16.0
1974,15.0
1975,17.0
1976,12.0
1977,15.0
1978,17.0
1979,23.0
1980,19.0
1981,24.0
1982,34.0
1983,52.0
1984,55.0
1985,69.0
1986,87.0
1987,102.0
1988,79.0
1989,75.0
1990,68.0
1991,78.0
1992,101.0
1993,114.0
1994,135.0
1995,140.0
1996,118.0
1997,108.0
1998,103.0
1999,94.0
2000,90.0
2001,87.0
2002,80.0
2003,84.0
2004,96.0
2005,110.0
2006,104.0
2007,97.0
2008,84.0
2009,74.0
2010,74.0
2011,67.0
2012,69.0
2013,69.0
2014,75.0
2015,78.0
2016,91.0
2017,107.0
2018,107.0
2019,127.0
2020,132.0
2021,128.0
2022,122.0
2023,113.0
2024,105.0
2025,127.0
2026,144.0
2027,158.0
2028,141.0
2029,124.0
2030,131.0
2031,150.0
2032,137.0
2033,128.0
2034,103.0
2035,60.0
2036,50.0
2037,63.0
2038,77.0
2039,62.0
2040,58.0
2041,77.0
2042,131.0
2043,121.0
2044,81.0
2045,77.0
2046,67.0
2047,66.0
2048,60.0
2049,71.0
2050,94.0
2051,90.0
2052,85.0
2053,75.0
2054,79.0
2055,91.0
2056,89.0
2057,102.0
2058,49.0
2059,14.0
2060,14.0
2061,16.0
2062,14.0
2063,22.0
2064,17.0
2065,16.0
2066,19.0
2067,19.0
2068,24.0
2069,22.0
2070,22.0
2071,32.0
2072,30.0
2073,24.0
2074,29.0
2075,56.0
2076,58.0
2077,53.0
2078,37.0
2079,39.0
2080,40.0
2081,44.0
2082,48.0
2083,54.0
2084,73.0
2085,89.0
2086,80.0
2087,84.0
2088,91.0
2089,68.0
2090,67.0
2091,75.0
2092,68.0
2093,63.0
2094,57.0
2095,50.0
2096,63.0
2097,81.0
2098,78.0
2099,79.0
2100,87.0
2101,86.0
2102,86.0
2103,87.0
2104,84.0
2105,86.0
2106,108.0
2107,116.0
2108,105.0
2109,95.0
2110,44.0
2111,33.0
2112,23.0
2113,22.0
2114,42.0
2115,88.0
2116,40.0
2117,25.0
2118,29.0
2119,31.0
2120,23.0
2121,14.0
2122,14.0
2123,12.0
2124,11.0
2125,8.0
2126,7.0
2127,8.0
2128,11.0
2129,14.0
2130,13.0
2131,13.0
2132,16.0
2133,14.0
2134,14.0
2135,19.0
2136,12.0
2137,13.0
2138,15.0
2139,14.0
